FID,Id,X,y,longitud,latitud
0,0,621006.0000000,9773760.0000000,-79.9119034,-2.0465100
1,0,621007.0000000,9773760.0000000,-79.9119034,-2.0465100
2,0,621008.0000000,9773760.0000000,-79.9119034,-2.0465100
3,0,621009.0000000,9773760.0000000,-79.9119034,-2.0465100
4,0,621010.0000000,9773760.0000000,-79.9119034,-2.0465100
5,0,621011.0000000,9773760.0000000,-79.9119034,-2.0465100
6,0,621012.0000000,9773760.0000000,-79.9119034,-2.0465100
7,0,621013.0000000,9773760.0000000,-79.9119034,-2.0465100
8,0,621014.0000000,9773760.0000000,-79.9117966,-2.0465100
9,0,621015.0000000,9773760.0000000,-79.9117966,-2.0465100
10,0,621016.0000000,9773760.0000000,-79.9117966,-2.0465100
11,0,621017.0000000,9773760.0000000,-79.9117966,-2.0465100
12,0,621018.0000000,9773760.0000000,-79.9117966,-2.0465100
13,0,621019.0000000,9773760.0000000,-79.9117966,-2.0465100
14,0,621020.0000000,9773760.0000000,-79.9117966,-2.0465100
15,0,621021.0000000,9773760.0000000,-79.9117966,-2.0465100
16,0,621022.0000000,9773760.0000000,-79.9117966,-2.0465100
17,0,621023.0000000,9773760.0000000,-79.9117966,-2.0465100
18,0,621024.0000000,9773760.0000000,-79.9117966,-2.0465100
19,0,621025.0000000,9773760.0000000,-79.9117966,-2.0465100
20,0,621026.0000000,9773760.0000000,-79.9116974,-2.0465100
21,0,621027.0000000,9773760.0000000,-79.9116974,-2.0465100
22,0,621006.0000000,9773760.0000000,-79.9119034,-2.0465000
23,0,621007.0000000,9773760.0000000,-79.9119034,-2.0465000
24,0,621008.0000000,9773760.0000000,-79.9119034,-2.0465000
25,0,621009.0000000,9773760.0000000,-79.9119034,-2.0465000
26,0,621010.0000000,9773760.0000000,-79.9119034,-2.0465000
27,0,621011.0000000,9773760.0000000,-79.9119034,-2.0465000
28,0,621012.0000000,9773760.0000000,-79.9119034,-2.0465000
29,0,621013.0000000,9773760.0000000,-79.9119034,-2.0465000
30,0,621014.0000000,9773760.0000000,-79.9117966,-2.0465000
31,0,621015.0000000,9773760.0000000,-79.9117966,-2.0465000
32,0,621016.0000000,9773760.0000000,-79.9117966,-2.0465000
33,0,621017.0000000,9773760.0000000,-79.9117966,-2.0465000
34,0,621018.0000000,9773760.0000000,-79.9117966,-2.0465000
35,0,621019.0000000,9773760.0000000,-79.9117966,-2.0465000
36,0,621020.0000000,9773760.0000000,-79.9117966,-2.0465000
37,0,621021.0000000,9773760.0000000,-79.9117966,-2.0465000
38,0,621022.0000000,9773760.0000000,-79.9117966,-2.0465000
39,0,621023.0000000,9773760.0000000,-79.9117966,-2.0465000
40,0,621024.0000000,9773760.0000000,-79.9117966,-2.0465000
41,0,621025.0000000,9773760.0000000,-79.9117966,-2.0465000
42,0,621026.0000000,9773760.0000000,-79.9116974,-2.0465000
43,0,621027.0000000,9773760.0000000,-79.9116974,-2.0465000
44,0,621006.0000000,9773760.0000000,-79.9119034,-2.0464900
45,0,621007.0000000,9773760.0000000,-79.9119034,-2.0464900
46,0,621008.0000000,9773760.0000000,-79.9119034,-2.0464900
47,0,621009.0000000,9773760.0000000,-79.9119034,-2.0464900
48,0,621010.0000000,9773760.0000000,-79.9119034,-2.0464900
49,0,621011.0000000,9773760.0000000,-79.9119034,-2.0464900
50,0,621012.0000000,9773760.0000000,-79.9119034,-2.0464900
51,0,621013.0000000,9773760.0000000,-79.9119034,-2.0464900
52,0,621014.0000000,9773760.0000000,-79.9117966,-2.0464900
53,0,621015.0000000,9773760.0000000,-79.9117966,-2.0464900
54,0,621016.0000000,9773760.0000000,-79.9117966,-2.0464900
55,0,621017.0000000,9773760.0000000,-79.9117966,-2.0464900
56,0,621018.0000000,9773760.0000000,-79.9117966,-2.0464900
57,0,621019.0000000,9773760.0000000,-79.9117966,-2.0464900
58,0,621020.0000000,9773760.0000000,-79.9117966,-2.0464900
59,0,621021.0000000,9773760.0000000,-79.9117966,-2.0464900
60,0,621022.0000000,9773760.0000000,-79.9117966,-2.0464900
61,0,621023.0000000,9773760.0000000,-79.9117966,-2.0464900
62,0,621024.0000000,9773760.0000000,-79.9117966,-2.0464900
63,0,621025.0000000,9773760.0000000,-79.9117966,-2.0464900
64,0,621026.0000000,9773760.0000000,-79.9116974,-2.0464900
65,0,621027.0000000,9773760.0000000,-79.9116974,-2.0464900
66,0,621006.0000000,9773760.0000000,-79.9119034,-2.0464799
67,0,621007.0000000,9773760.0000000,-79.9119034,-2.0464799
68,0,621008.0000000,9773760.0000000,-79.9119034,-2.0464799
69,0,621009.0000000,9773760.0000000,-79.9119034,-2.0464799
70,0,621010.0000000,9773760.0000000,-79.9119034,-2.0464799
71,0,621011.0000000,9773760.0000000,-79.9119034,-2.0464799
72,0,621012.0000000,9773760.0000000,-79.9119034,-2.0464799
73,0,621013.0000000,9773760.0000000,-79.9119034,-2.0464799
74,0,621014.0000000,9773760.0000000,-79.9117966,-2.0464799
75,0,621015.0000000,9773760.0000000,-79.9117966,-2.0464799
76,0,621016.0000000,9773760.0000000,-79.9117966,-2.0464799
77,0,621017.0000000,9773760.0000000,-79.9117966,-2.0464799
78,0,621018.0000000,9773760.0000000,-79.9117966,-2.0464799
79,0,621019.0000000,9773760.0000000,-79.9117966,-2.0464799
80,0,621020.0000000,9773760.0000000,-79.9117966,-2.0464799
81,0,621021.0000000,9773760.0000000,-79.9117966,-2.0464799
82,0,621022.0000000,9773760.0000000,-79.9117966,-2.0464799
83,0,621023.0000000,9773760.0000000,-79.9117966,-2.0464799
84,0,621024.0000000,9773760.0000000,-79.9117966,-2.0464799
85,0,621025.0000000,9773760.0000000,-79.9117966,-2.0464799
86,0,621026.0000000,9773760.0000000,-79.9116974,-2.0464799
87,0,621027.0000000,9773760.0000000,-79.9116974,-2.0464799
88,0,621006.0000000,9773760.0000000,-79.9119034,-2.0464699
89,0,621007.0000000,9773760.0000000,-79.9119034,-2.0464699
90,0,621008.0000000,9773760.0000000,-79.9119034,-2.0464699
91,0,621009.0000000,9773760.0000000,-79.9119034,-2.0464699
92,0,621010.0000000,9773760.0000000,-79.9119034,-2.0464699
93,0,621011.0000000,9773760.0000000,-79.9119034,-2.0464699
94,0,621012.0000000,9773760.0000000,-79.9119034,-2.0464699
95,0,621013.0000000,9773760.0000000,-79.9119034,-2.0464699
